id_port,nom_port,nom_formel,code_iso2_pays,latitude,longitude,taille_port,type_port,capacite_max_navire
2235,Montreal,Port of Montreal,CA,45.51667,-73.55,Large,River Natural,Over 500'
7640,New York City,Port of New York City,US,40.7,-74.01667,Large,River Natural,Over 500'
8280,Norfolk,Port of Norfolk,US,36.85,-76.3,Large,River Natural,Over 500'
8640,Miami,Port of Miami,US,25.78333,-80.18333,Small,Coastal Natural,Over 500'
8770,Mobile,Port of Mobile,US,30.68333,-88.11667,Large,River Natural,Over 500'
8860,New Orleans,Port of New Orleans,US,29.95,-90.05,Large,River Natural,Over 500'
9240,Houston,Port of Houston,US,29.75,-95.28333,Large,River Tide Gate,Over 500'
9380,Veracruz,Port of Veracruz,MX,19.2,-96.13333,Medium,Coastal Breakwater,Over 500'
12970,Santos,Port of Santos,BR,-23.95,-46.3,Large,Coastal Natural,Over 500'
13760,Buenos Aires,Port of Buenos Aires,AR,-34.6,-58.36667,Large,Coastal Breakwater,Over 500'
16070,Long Beach,Port of Long Beach,US,33.76667,-118.18333,Medium,Coastal Breakwater,Over 500'
18150,Vancouver,Port of Vancouver,CA,49.28333,-123.11667,Large,Coastal Natural,Over 500'
23160,Bergen,Port of Bergen,NO,60.4,5.31667,Medium,Coastal Natural,Over 500'
23480,Stavanger,Port of Stavanger,NO,58.96667,5.75,Medium,Coastal Breakwater,Over 500'
23810,Oslo,Port of Oslo,NO,59.91667,10.75,Large,Coastal Natural,Over 500'
24020,Goteborg,Port of Goteborg,SE,57.7,11.96667,Large,River Tide Gate,Over 500'
25380,Stockholm,Port of Stockholm,SE,59.33333,18.05,Large,Coastal Breakwater,Under 500'
28190,Helsinki,Port of Helsinki,FI,60.16667,24.96667,Large,Coastal Breakwater,Over 500'
29230,Kobenhavn,Port of Kobenhavn,DK,55.7,12.61667,Large,Coastal Breakwater,Over 500'
30260,Arhus,Port of Arhus,DK,56.15,10.21667,Medium,Coastal Breakwater,Over 500'
30780,Hamburg,Port of Hamburg,DE,53.55,9.93333,Large,Lake or Canal,Under 500'
30810,Bremerhaven,Port of Bremerhaven,DE,53.53333,8.58333,Large,River Tide Gate,Under 500'
30910,Wilhelmshaven,Port of Wilhelmshaven,DE,53.53333,8.16667,Small,Coastal Tide Gate,Under 500'
31060,Amsterdam,Port of Amsterdam,NL,52.36667,4.9,Large,Lake or Canal,Under 500'
31140,Rotterdam,Port of Rotterdam,NL,51.9,4.48333,Large,River Basin,Over 500'
