id_societe_classification,nom_societe,sigle,code_iso2_pays,site_web
1,American Bureau of Shipping,ABS,US,https://ww2.eagle.org
2,Bureau Veritas Marine & Offshore,BV,FR,https://marine-offshore.bureauveritas.com
3,China Classification Society,CCS,CN,https://www.ccs.org.cn
4,Croatian Register of Shipping,CRS,HR,https://www.crs.hr
5,DNV,DNV,NO,https://www.dnv.com/maritime
6,Indian Register of Shipping,IRClass,IN,https://www.irclass.org
7,Korean Register,KR,KR,https://www.krs.co.kr
8,Lloyd's Register,LR,GB,https://www.lr.org
9,Nippon Kaiji Kyokai,ClassNK,JP,https://www.classnk.or.jp
10,Polish Register of Shipping,PRS,PL,https://www.prs.pl
11,Registro Italiano Navale,RINA,IT,https://www.rina.org
12,TŸrk Loydu,TL,TR,https://www.turkloydu.org
13,Russian Maritime Register of Shipping,RS,RU,https://rs-class.org
14,Hellenic Register of Shipping,HRS,GR,https://www.hrs.gr
15,International Naval Surveys Bureau,INSB,GR,https://www.insb.gr
16,Phoenix Register of Shipping,PHRS,GR,https://www.phrs.gr
17,Bulgarian Register of Shipping,BRS,BG,https://www.brs-bg.com
18,Vietnam Register,VR,VN,https://www.vr.org.vn
19,Indonesian Classification Bureau,BKI,ID,https://www.bki.co.id
20,Shipping Register of Ukraine,SRU,UA,https://shipregister.ua
